"#","Question","Hint","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"11","Quel film collectif de 1978 traite des répercussions du terrorisme de la Fraction Armée Rouge sur la société allemande ?","Le titre original est 'Deutschland im Herbst'.","Despair","La Troisième Génération","Maman Küsters s'en va au ciel","L'Allemagne en automne","D. L'Allemagne en automne","Fassbinder y réalise un segment très personnel où il se met en scène dans un état de paranoïa face aux événements de 1977."
"12","Dans 'Berlin Alexanderplatz', qui joue le rôle de Reinhold, l'antagoniste complexe de Franz Biberkopf ?","C'est le même acteur qui jouait l'outilleur Jochen.","Volker Spengler","Gottfried John","Harry Baer","Günter Lamprecht","B. Gottfried John","Gottfried John livre une performance mémorable dans le rôle de Reinhold, le 'mauvais génie' de Franz."
"13","Quel auteur a écrit la pièce 'Le Village en flammes', adaptée par Fassbinder pour le théâtre en 1970 ?","Un célèbre dramaturge espagnol.","Carlo Goldoni","John Gay","Heinrich von Kleist","Lope de Vega","D. Lope de Vega","Fassbinder a adapté la pièce de ce grand auteur espagnol du Siècle d'or."
"14","Quel terme Elsaesser utilise-t-il pour décrire la relation entre la violence sexuelle et la violence d'État chez Fassbinder ?","C'est la capacité d'un processus à pouvoir être inversé.","L'aliénation","La distanciation","La réversibilité","La réification","C. La réversibilité","Elsaesser note que chez Fassbinder, les rôles de l'oppresseur et de l'opprimé sont constamment réversibles."
"15","Quel est le premier long-métrage de Fassbinder réalisé avec sa troupe en 1969 ?","Un titre qui évoque la température des sentiments.","Le Bouc","L'amour est plus froid que la mort","Le Soldat américain","Les Dieux de la peste","B. L'amour est plus froid que la mort","C'est son premier film, dédié à Claude Chabrol, Éric Rohmer et Jean-Luc Godard."
"16","Dans 'L'Année des treize lunes', qui est le personnage pour lequel Erwin a changé de sexe ?","Un spéculateur immobilier juif rescapé des camps.","Christoph Hacker","Franz Merkl","Anton Saitz","Reinhold","C. Anton Saitz","Anton Saitz est l'ancien boucher devenu magnat immobilier pour qui Erwin s'est fait opérer par amour."
"17","Qui a assuré la direction artistique de la restauration numérique de 'Huit heures ne font pas un jour' ?","Elle a été la dernière compagne et monteuse de Fassbinder.","Peter Märthesheimer","Dietrich Lohmann","Juliane Maria Lorenz","Hanna Schygulla","C. Juliane Maria Lorenz","La présidente de la Fondation Fassbinder a supervisé ce projet de restauration en 2K."
"18","Quel film de 1972 s'ouvre sur une séquence dans une usine de poulets pour dénoncer la rationalité technologique ?","Le titre original allemand est 'Wildwechsel'.","Tous les autres s'appellent Ali","Huit heures ne font pas un jour","Le Marchand des quatre saisons","Gibier de passage","D. Gibier de passage","Le film s'ouvre sur cette scène de chaîne d'abattage pour symboliser l'individu réduit à une entité déshumanisée."
"19","Quelle est la particularité visuelle marquante du film 'Effi Briest' (1974) ?","Cela concerne la transition entre les scènes.","L'utilisation exclusive du noir et blanc","L'utilisation de fondus au blanc","L'absence totale de musique","Une caméra portée constante","B. L'utilisation de fondus au blanc","Fassbinder utilise les fondus au blanc pour marquer la distance et la froideur de la société prussienne."
"20","Quel film de Fassbinder a provoqué un scandale majeur pour des accusations d'antisémitisme ?","Il s'agit d'une pièce de théâtre avant d'être un projet de film.","Le Secret de Veronika Voss","Les Ordures, la Ville, la Mort","Maman Küsters s'en va au ciel","L'Année des treize lunes","B. Les Ordures, la Ville, la Mort","Cette pièce de théâtre (et son adaptation cinématographique l'Ombre des anges) a fait scandale à cause du personnage du 'Juif riche'."
"21","Quel acteur de la 'famille' Fassbinder a également travaillé comme décorateur sur ses films ?","Il joue le rôle principal dans 'Pourquoi monsieur R. est-il atteint de folie meurtrière ?'.","Günther Kaufmann","Ulli Lommel","Kurt Raab","Harry Baer","C. Kurt Raab","Kurt Raab était non seulement acteur mais aussi un décorateur talentueux pour de nombreuses productions de Fassbinder."
"22","En quelle année s'est terminé le tournage de 'Huit heures ne font pas un jour' ?","L'année des Jeux Olympiques de Munich.","1973","1974","1970","1972","D. 1972","La production s'est déroulée d'avril à août 1972, et la diffusion a commencé fin 1972."
"23","Quel film de 1976 est décrit comme une 'farce d'humour noir sur la folie créatrice' ?","Le titre original est 'Satansbraten'.","Peur de la peur","Le Rôti de Satan","Le Droit du plus fort","Roulette chinoise","B. Le Rôti de Satan","Satansbraten suit un écrivain en crise, Kranz, dans une atmosphère grotesque et hystérique."
"24","Qui a écrit la nouvelle qui a servi de base au scénario de 'Martha' (1974) ?","Un maître du suspense américain souvent adapté au cinéma.","Oskar Maria Graf","Asta Scheib","Vladimir Nabokov","Cornell Woolrich","D. Cornell Woolrich","Le téléfilm Martha est adapté d'une œuvre de cet auteur de romans policiers noir."
"25","Quel personnage historique réel est au centre du film 'Lili Marleen' (1981) ?","La chanteuse originale du morceau qui a uni les soldats des deux camps.","Rosa Luxemburg","Zarah Leander","Mata Hari","Lale Andersen","D. Lale Andersen","Bien que le nom soit changé en Willie dans le film, l'histoire s'inspire de la chanteuse de la célèbre chanson Lili Marleen."
"26","Quel était le budget total de la production de 'Huit heures ne font pas un jour' ?","C'est un peu plus d'un million.","500 000 deutsche marks","1,375 million de deutsche marks","1 million de dollars","3 millions de deutsche marks","B. 1,375 million de deutsche marks","C'est le chiffre précis mentionné par Juliane Maria Lorenz pour les 105 jours de tournage."
"27","Quel film de 1972 de Fassbinder s'inspire du genre du mélodrame de Douglas Sirk ?","Le protagoniste s'appelle Hans Epp.","Le Soldat américain","Whity","Les Larmes amères de Petra von Kant","Le Marchand des quatre saisons","D. Le Marchand des quatre saisons","C'est le film qui marque le 'tournant sirkien' de Fassbinder, utilisant le mélodrame pour la critique sociale."
"28","Dans 'Huit heures ne font pas un jour', quel acteur joue le compagnon de la Grand-mère, Gregor ?","Hanna Schygulla le décrit comme étant 'à la maison dans l'absurde'.","Adrian Hoven","Walter Sedlmayr","Werner Finck","Karlheinz Böhm","C. Werner Finck","Werner Finck, figure de l'absurde, forme un couple original avec Luise Ullrich dans la série."
"29","Quel film de 1982 a remporté l'Ours d'Or au Festival de Berlin ?","L'actrice principale est Rosel Zech.","Querelle","Maria Braun","Lola, une femme allemande","Le Secret de Veronika Voss","D. Le Secret de Veronika Voss","Fassbinder a reçu cette récompense suprême peu avant sa mort pour ce film en noir et blanc."
"30","Qui a écrit le roman 'Simulacron-3' dont est adapté 'Le Monde sur le fil' ?","Un auteur de science-fiction dont l'œuvre préfigure Matrix.","Vladimir Nabokov","Alfred Döblin","Cornell Woolrich","Daniel F. Galouye","D. Daniel F. Galouye","C'est l'auteur de ce roman de science-fiction américain qui a servi de base au téléfilm de 1973."
"31","Quel concept Elsaesser associe-t-il à la dimension utopique du film 'Berlin Alexanderplatz' ?","Une philosophie politique qui refuse l'autorité de l'État.","L'idéal libertaire anarchiste","Le travail du deuil","Le miracle économique","L'extase masochiste","A. L'idéal libertaire anarchiste","Elsaesser voit dans le film l'expression d'un credo anarchiste où le couple ne peut exister que dans un réseau d'échanges."
"32","Dans le film 'Le Droit du plus fort' (1975), quel personnage Fassbinder incarne-t-il ?","Il porte le même nom que le héros de Döblin.","Max","Franz Biberkopf (Fox)","Lüders","Eugen","B. Franz Biberkopf (Fox)","Fassbinder joue Fox, un forain qui gagne à la loterie et se fait exploiter par son amant bourgeois."
"33","Quelle est la date précise du décès de Rainer Werner Fassbinder ?","Il est mort au début du mois de juin.","10 juin 1982","31 mai 1982","10 juin 1980","15 avril 1982","A. 10 juin 1982","Fassbinder est mort prématurément à Munich d'une overdose, à l'âge de 37 ans."
"34","Qui a réalisé le making-off de 'Querelle' intitulé 'Le Magicien de Babylone' ?","C'est aussi le producteur du film Querelle.","Alexander Kluge","Dieter Schidor","Rosa von Praunheim","Juliane Maria Lorenz","B. Dieter Schidor","Schidor était le producteur de Querelle et a réalisé ce documentaire sur le tournage."
"35","Dans 'L'Année des treize lunes', quelle amie accompagne Elvira dans ses déambulations ?","Elle est surnommée 'Rote Zora' et est jouée par Ingrid Caven.","Marie-Ann","Zora","Sœur Gudrun","Marion","B. Zora","Rote Zora, incarnée par Ingrid Caven, est la seule figure qui offre un soutien à Elvira."
"36","Quel motif Elsaesser appelle-t-il 'le sésame' utilisé par Fassbinder pour aborder les minorités et le pouvoir ?","C'est le fait de tirer profit de quelqu'un de façon abusive.","La paranoïa","Le sacrifice","L'amour","L'exploitation","D. L'exploitation","Fassbinder explore sans cesse l'exploitation des sentiments comme miroir de l'exploitation économique."
"37","Comment s'appelle l'entreprise de théâtre fondée par Fassbinder en 1968 ?","Un nom qui s'oppose au théâtre traditionnel.","L'Antiteater","Le Theater am Neumarkt","Le Berliner Ensemble","La Volksbühne","A. L'Antiteater","Après l'Action-Theater, Fassbinder fonde l'Antiteater avec sa troupe d'acteurs fidèles."
"38","Quel acteur incarne Robert Krohn dans 'Le Secret de Veronika Voss' ?","C'est l'interprète du compagnon de Veronika au début de l'intrigue.","Hilmar Thate","Armin Mueller-Stahl","Karlheinz Böhm","Gottfried John","A. Hilmar Thate","Hilmar Thate joue le journaliste sportif qui tente de percer le mystère de l'actrice déchue."
"39","Dans 'Lili Marleen', quel est le nom du personnage masculin, chef d'un groupe de résistance juif ?","Il est interprété par Giancarlo Giannini.","Max Rehbein","Anton Saitz","Robert Mendelssohn","Christoph Hacker","C. Robert Mendelssohn","Robert est le chef d'orchestre suisse et résistant dont Willie est amoureuse."
"40","Selon Claire Kaiser, que devient le corps d'Elvira à la suite de la scène des abattoirs ?","Le corps perd ses contours distincts.","Une figure angélique","Un motif informe et monstrueux","Une icône de la beauté tragique","Un symbole de la révolution","B. Un motif informe et monstrueux","Kaiser soutient que l'identification plastique à l'animal détruit l'identité humaine d'Elvira."
"41","Quel film de 1970 est coréalisé avec Michael Fengler et traite de l'ennui petit-bourgeois ?","Le titre commence par une interrogation sur un acte criminel.","Rio das Mortes","Le Soldat américain","Pourquoi monsieur R. est-il atteint de folie meurtrière ?","Les Dieux de la peste","C. Pourquoi monsieur R. est-il atteint de folie meurtrière ?","Ce film expérimental et clinique montre la lente implosion d'un homme ordinaire."
"42","Quel livre de Juliane Maria Lorenz compile des conversations sur Fassbinder ?","Le titre suggère un désordre quotidien habituel.","Un cinéaste d'Allemagne","Chaos as Usual","Fassbinder par lui-même","L'Anarchie de l'imagination","B. Chaos as Usual","Cet ouvrage rassemble des témoignages de collaborateurs sur la vie et le travail du cinéaste."
"43","Dans 'Huit heures ne font pas un jour', quel est le métier de Jochen ?","Un ouvrier qualifié travaillant le métal.","Journaliste","Boucher","Marchand de fruits","Outilleur","D. Outilleur","Jochen travaille en usine comme outilleur (toolmaker), leader naturel de son groupe de collègues."
"44","Quel film de 1979 raconte l'ascension sociale d'une femme dans l'Allemagne de l'après-guerre ?","Le premier volet de la trilogie RFA.","Le Mariage de Maria Braun","Lola","Effi Briest","Lili Marleen","A. Le Mariage de Maria Braun","Le film suit Maria qui utilise son intelligence pour réussir durant le miracle économique."
"45","Selon Elsaesser, quelle dimension historique Fassbinder privilégie-t-il dans ses derniers films ?","Il cherche les racines de l'Allemagne contemporaine dans le passé.","La chronique médiévale","L'archéologie de la République fédérale","L'histoire des religions","L'épopée coloniale","B. L'archéologie de la République fédérale","Dautrey et Elsaesser notent que ses films de la fin de sa vie remontent le temps pour expliquer le présent."
"46","Quel acteur joue le rôle du chauffeur d'Anton Saitz dans 'L'Année des treize lunes' ?","Un acteur bavarois noir très proche du réalisateur.","Karl Scheydt","Günther Kaufmann","Armin Meier","Gottfried John","B. Günther Kaufmann","Kaufmann était un habitué de ces rôles de force tranquille ou de GI dans l'œuvre de Fassbinder."
"47","Dans 'Huit heures ne font pas un jour', qui joue la Grand-mère (Oma) ?","Fassbinder l'avait admirée dans 'Liebelei' de Max Ophüls.","Brigitte Mira","Margit Carstensen","Luise Ullrich","Johanna Hofer","C. Luise Ullrich","Cette star du cinéma des années 1930 a fait un retour remarqué dans ce rôle de grand-mère énergique."
"48","Quel film de 1974 a valu à Fassbinder le Prix de la Critique Internationale à Cannes ?","Une histoire d'amour entre une femme de ménage et un immigré marocain.","Tous les autres s'appellent Ali","Maman Küsters s'en va au ciel","Effi Briest","Le Droit du plus fort","A. Tous les autres s'appellent Ali","C'est le film qui a véritablement lancé sa carrière internationale auprès de la critique française."
"49","Quel court-métrage de 10 minutes de 1966 met en scène un dilemme autour d'un pistolet ?","Le titre original est 'Der Stadtstreicher'.","La Niklashausen Journey","Le Petit Chaos","Pourquoi monsieur R. ?","Le Clochard","D. Le Clochard","Der Stadtstreicher montre un vagabond incapable de décider s'il doit garder ou jeter une arme trouvée."
"50","Qui a écrit la pièce 'Bibi', montée par Fassbinder à Bochum en 1973 ?","Un grand écrivain allemand dont le frère a écrit 'La Montagne magique'.","Heinrich Mann","Thomas Mann","Bertolt Brecht","Frank Wedekind","A. Heinrich Mann","Fassbinder a adapté cette pièce de l'auteur de L'Ange bleu."
